SepalLength,SepalWidth,PetalLength,PetalWidth,Species,id,teste
5.1,3.5,1.4,0.2,setosa,1,perola
4.9,3.0,1.4,0.2,setosa,2,peroba
4.7,3.2,1.3,0.2,setosa,3,perola
4.6,3.1,1.5,0.2,setosa,4,peroba
5.0,3.6,1.4,0.2,setosa,5,porco
5.4,3.9,1.7,0.4,setosa,6,perola
4.6,3.4,1.4,0.3,setosa,7,perola
5.0,3.4,1.5,0.2,setosa,8,perola
4.4,2.9,1.4,0.2,setosa,9,porco
4.9,3.1,1.5,0.1,setosa,10,peroba
5.4,3.7,1.5,0.2,setosa,11,perola
4.8,3.4,1.6,0.2,setosa,12,porco
4.8,3.0,1.4,0.1,setosa,13,peroba
4.3,3.0,1.1,0.1,setosa,14,perola
5.8,4.0,1.2,0.2,setosa,15,peroba
5.7,4.4,1.5,0.4,setosa,16,peroba
5.4,3.9,1.3,0.4,setosa,17,perola
5.1,3.5,1.4,0.3,setosa,18,porco
5.7,3.8,1.7,0.3,setosa,19,porco
5.1,3.8,1.5,0.3,setosa,20,perola
5.4,3.4,1.7,0.2,setosa,21,peroba
5.1,3.7,1.5,0.4,setosa,22,peroba
4.6,3.6,1.0,0.2,setosa,23,porco
5.1,3.3,1.7,0.5,setosa,24,perola
4.8,3.4,1.9,0.2,setosa,25,peroba
5.0,3.0,1.6,0.2,setosa,26,peroba
5.0,3.4,1.6,0.4,setosa,27,perola
5.2,3.5,1.5,0.2,setosa,28,perola
5.2,3.4,1.4,0.2,setosa,29,porco
4.7,3.2,1.6,0.2,setosa,30,porco
4.8,3.1,1.6,0.2,setosa,31,perola
5.4,3.4,1.5,0.4,setosa,32,peroba
5.2,4.1,1.5,0.1,setosa,33,perola
5.5,4.2,1.4,0.2,setosa,34,porco
4.9,3.1,1.5,0.2,setosa,35,porco
5.0,3.2,1.2,0.2,setosa,36,porco
5.5,3.5,1.3,0.2,setosa,37,perola
4.9,3.6,1.4,0.1,setosa,38,peroba
4.4,3.0,1.3,0.2,setosa,39,porco
5.1,3.4,1.5,0.2,setosa,40,perola
5.0,3.5,1.3,0.3,setosa,41,porco
4.5,2.3,1.3,0.3,setosa,42,porco
4.4,3.2,1.3,0.2,setosa,43,porco
5.0,3.5,1.6,0.6,setosa,44,perola
5.1,3.8,1.9,0.4,setosa,45,porco
4.8,3.0,1.4,0.3,setosa,46,porco
5.1,3.8,1.6,0.2,setosa,47,porco
4.6,3.2,1.4,0.2,setosa,48,perola
5.3,3.7,1.5,0.2,setosa,49,porco
5.0,3.3,1.4,0.2,setosa,50,perola
7.0,3.2,4.7,1.4,versicolor,51,perola
6.4,3.2,4.5,1.5,versicolor,52,peroba
6.9,3.1,4.9,1.5,versicolor,53,porco
5.5,2.3,4.0,1.3,versicolor,54,porco
6.5,2.8,4.6,1.5,versicolor,55,perola
5.7,2.8,4.5,1.3,versicolor,56,perola
6.3,3.3,4.7,1.6,versicolor,57,peroba
4.9,2.4,3.3,1.0,versicolor,58,peroba
6.6,2.9,4.6,1.3,versicolor,59,peroba
5.2,2.7,3.9,1.4,versicolor,60,peroba
5.0,2.0,3.5,1.0,versicolor,61,perola
5.9,3.0,4.2,1.5,versicolor,62,peroba
6.0,2.2,4.0,1.0,versicolor,63,peroba
6.1,2.9,4.7,1.4,versicolor,64,peroba
5.6,2.9,3.6,1.3,versicolor,65,porco
6.7,3.1,4.4,1.4,versicolor,66,perola
5.6,3.0,4.5,1.5,versicolor,67,porco
5.8,2.7,4.1,1.0,versicolor,68,peroba
6.2,2.2,4.5,1.5,versicolor,69,porco
5.6,2.5,3.9,1.1,versicolor,70,peroba
5.9,3.2,4.8,1.8,versicolor,71,porco
6.1,2.8,4.0,1.3,versicolor,72,peroba
6.3,2.5,4.9,1.5,versicolor,73,porco
6.1,2.8,4.7,1.2,versicolor,74,perola
6.4,2.9,4.3,1.3,versicolor,75,peroba
6.6,3.0,4.4,1.4,versicolor,76,perola
6.8,2.8,4.8,1.4,versicolor,77,porco
6.7,3.0,5.0,1.7,versicolor,78,porco
6.0,2.9,4.5,1.5,versicolor,79,porco
5.7,2.6,3.5,1.0,versicolor,80,porco
5.5,2.4,3.8,1.1,versicolor,81,porco
